Name,Author,User Rating,Reviews,Price,Year,Fiction,Non Fiction
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,0,1
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,1,0
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,0,1
1984 (Signet Classics),George Orwell,4.7,21424,6,2017,1,0
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,0,1
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,1,0
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,1,0
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,1,0
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,0,1
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,1,0
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,0,1
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,0,1
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,1,0
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,2009,0,1
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,0,1
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,0,1
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,0,1
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8,2015,0,1
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,0,1
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,1,0
Allegiant,Veronica Roth,3.9,6310,13,2013,1,0
